class,f1_score,precision,recall,support
Philonthus tenuicornis,1.0,1.0,1.0,13.0
Paederidus ruficollis,1.0,1.0,1.0,24.0
Philonthus splendens,1.0,1.0,1.0,17.0
Pseudomedon obscurellus,1.0,1.0,1.0,14.0
Staphylinus erythropterus,1.0,1.0,1.0,4.0
Lobrathium multipunctum,0.96,0.92,1.0,11.0
Philonthus nitidicollis,0.0,0.0,0.0,1.0
Xantholinus dvoraki,1.0,1.0,1.0,3.0
Lathrobium geminum,0.84,0.8,0.89,9.0
Paederus riparius,1.0,1.0,1.0,28.0
Heterothops praevius,0.73,0.67,0.8,5.0
Gabrius osseticus,1.0,1.0,1.0,6.0
Philonthus carbonarius,0.97,0.97,0.97,35.0
Quedius semiaeneus,0.75,0.75,0.75,4.0
Cafius xantholoma,1.0,1.0,1.0,29.0
Othius punctulatus,1.0,1.0,1.0,5.0
Heterothops binotatus,0.73,1.0,0.57,7.0
Philonthus succicola,0.89,0.84,0.95,22.0
Philonthus rectangulus,0.93,1.0,0.88,8.0
Ocypus ophthalmicus,1.0,1.0,1.0,3.0
Quedius maurorufus,0.78,0.7,0.88,8.0
Quedius suturalis,0.8,0.86,0.75,8.0
Ontholestes tessellatus,1.0,1.0,1.0,3.0
Bisnius subuliformis,1.0,1.0,1.0,6.0
Philonthus lepidus,0.92,0.86,1.0,6.0
Heterothops quadripunctulus,0.92,0.86,1.0,6.0
Philonthus addendus,0.8,0.73,0.89,9.0
Quedius auricomus,1.0,1.0,1.0,6.0
Philonthus punctus,0.75,0.75,0.75,4.0
Quedius levicollis,0.73,0.57,1.0,4.0
Ocypus olens,1.0,1.0,1.0,2.0
Ocypus aeneocephalus,0.89,0.8,1.0,4.0
Ochthephilum fracticorne,1.0,1.0,1.0,18.0
Quedius scitus,0.89,0.8,1.0,4.0
Philonthus mannerheimi,0.89,1.0,0.8,5.0
Acylophorus wagenschieberi,1.0,1.0,1.0,4.0
Astenus immacullatus,1.0,1.0,1.0,13.0
Quedius brevicornis,0.67,1.0,0.5,6.0
Quedius fuliginosus,0.92,1.0,0.86,7.0
Tetartopeus terminatus,0.9,0.95,0.86,22.0
Platydracus fulvipes,1.0,1.0,1.0,3.0
Philonthus cruentatus,1.0,1.0,1.0,4.0
Quedius scintillans,1.0,1.0,1.0,9.0
Megalinus glabratus,1.0,1.0,1.0,3.0
Heterothops niger,0.75,0.75,0.75,4.0
Quedius lateralis,1.0,1.0,1.0,6.0
Philonthus corruscus,1.0,1.0,1.0,2.0
Tasgius morsitans,1.0,1.0,1.0,4.0
Medon ripicola,1.0,1.0,1.0,8.0
Gyrohypnus punctulatus,0.88,0.88,0.88,8.0
Quedius cinctus,1.0,1.0,1.0,7.0
Philonthus longicornis,0.94,0.89,1.0,8.0
Astenus gracilis,0.76,0.67,0.89,9.0
Lathrobium brunnipes,0.97,0.97,0.97,29.0
Bisnius pseudoparcus,1.0,1.0,1.0,2.0
Quedius infuscatus,0.67,1.0,0.5,2.0
Quedius maurus,0.89,1.0,0.8,5.0
Quedius persimilis,0.67,0.67,0.67,6.0
Gabrius breviventer,0.76,0.62,1.0,8.0
Scopaeus minutus,1.0,1.0,1.0,9.0
Bisnius sordidus,0.96,0.93,1.0,25.0
Ocypus nitens,0.86,0.75,1.0,6.0
Tasgius melanarius,0.75,1.0,0.6,5.0
Gauropterus fulgidus,1.0,1.0,1.0,7.0
Xantholinus gallicus,1.0,1.0,1.0,1.0
Gabrius nigritulus,0.82,1.0,0.69,13.0
Philonthus marginatus,1.0,1.0,1.0,16.0
Philonthus rubripennis,1.0,1.0,1.0,8.0
Lathrobium fulvipenne,0.98,0.96,1.0,24.0
Sunius bicolor,1.0,1.0,1.0,9.0
Tasgius globulifer,1.0,1.0,1.0,2.0
Astenus procerus,0.92,1.0,0.86,7.0
Gabrius appendiculatus,0.83,0.83,0.83,6.0
Philonthus rufipes,0.8,1.0,0.67,6.0
Quedius boops,0.33,0.33,0.33,3.0
Quedius cruentus,1.0,1.0,1.0,9.0
Velleius dilatatus,1.0,1.0,1.0,2.0
Neobisnius lathrobioides,1.0,1.0,1.0,15.0
Quedius fulvicollis,1.0,1.0,1.0,1.0
Medon brunneus,1.0,1.0,1.0,8.0
Philonthus jurgans,0.67,0.6,0.75,4.0
Scopaeus sulcicollis,1.0,1.0,1.0,8.0
Philonthus quisquiliarius,1.0,1.0,1.0,6.0
Gyrohypnus angustatus,1.0,1.0,1.0,4.0
Staphylinus caesareus,1.0,1.0,1.0,2.0
Quedius xanthopus,1.0,1.0,1.0,10.0
Lithocharis ochracea,1.0,1.0,1.0,19.0
Bisnius parcus,1.0,1.0,1.0,3.0
Philonthus binotatus,0.5,0.5,0.5,2.0
Quedius nigrocaeruleus,0.8,0.67,1.0,2.0
Pseudomedon obsoletus,1.0,1.0,1.0,6.0
Philonthus varians,0.91,1.0,0.83,6.0
Gyrohypnus atratus,0.8,0.8,0.8,5.0
Ontholestes murinus,1.0,1.0,1.0,5.0
Xantholinus laevigatus,0.86,0.75,1.0,3.0
Philonthus corvinus,0.89,0.8,1.0,4.0
Quedius semiobscurus,0.75,0.75,0.75,4.0
Heterothops stiglundbergi,1.0,1.0,1.0,1.0
Philonthus concinnus,0.92,1.0,0.86,7.0
Philonthus nigrita,1.0,1.0,1.0,5.0
Nudobius lentus,1.0,1.0,1.0,7.0
Philonthus debilis,0.95,0.91,1.0,10.0
Lithocharis nigriceps,1.0,1.0,1.0,8.0
Philonthus furcifer,0.86,1.0,0.75,4.0
Philonthus confinis,1.0,1.0,1.0,1.0
Bisnius cephalotes,0.94,1.0,0.88,17.0
Philonthus fumarius,1.0,1.0,1.0,8.0
Lathrobium rufipenne,0.96,0.92,1.0,11.0
Ocypus picipennis,1.0,1.0,1.0,5.0
Astenus lyonessius,0.8,1.0,0.67,15.0
Ocypus brunnipes,1.0,1.0,1.0,5.0
Rugilus erichsoni,1.0,1.0,1.0,15.0
Atrecus affinis,1.0,1.0,1.0,4.0
Bisnius nitidulus,1.0,1.0,1.0,14.0
Scopaeus laevigatus,1.0,1.0,1.0,1.0
Philonthus parvicornis,0.8,0.67,1.0,4.0
Philonthus politus,0.91,1.0,0.84,25.0
Othius angustus,0.71,1.0,0.56,9.0
Philonthus ventralis,1.0,1.0,1.0,5.0
Heterothops minutus,0.86,0.75,1.0,3.0
Philonthus micans,1.0,1.0,1.0,9.0
Quedius nitipennis,0.82,0.78,0.88,8.0
Acylophorus glaberrimus,1.0,1.0,1.0,6.0
Medon apicalis,1.0,1.0,1.0,6.0
Leptacinus formicetorum,1.0,1.0,1.0,4.0
Gyrohypnus fracticornis,0.92,1.0,0.86,7.0
Gabrius keysianus,0.89,0.8,1.0,4.0
Tetartopeus quadratus,0.84,0.76,0.94,17.0
Philonthus salinus,1.0,1.0,1.0,6.0
Philonthus albipes,0.94,0.88,1.0,15.0
Leptacinus intermedius,1.0,1.0,1.0,3.0
Staphylinus dimidiaticornis,0.8,0.67,1.0,2.0
Euryporus picipes,1.0,1.0,1.0,4.0
Philonthus nitidus,1.0,1.0,1.0,16.0
Quedius boopoides,0.8,1.0,0.67,3.0
Tasgius ater,1.0,1.0,1.0,3.0
Leptacinus batychrus,1.0,1.0,1.0,11.0
Gabrius austriacus,0.5,1.0,0.33,3.0
Philonthus decorus,1.0,1.0,1.0,22.0
Quedius fumatus,0.77,1.0,0.62,8.0
Xantholinus linearis,0.91,1.0,0.83,6.0
Philonthus atratus,1.0,1.0,1.0,17.0
Phacophallus parumpunctatus,1.0,1.0,1.0,3.0
Gabrius exiguus,1.0,1.0,1.0,1.0
Remus sericeus,1.0,1.0,1.0,12.0
Platydracus stercorarius,1.0,1.0,1.0,5.0
Emus hirtus,1.0,1.0,1.0,2.0
Philonthus sanguinolentus,1.0,1.0,1.0,8.0
Neobisnius villosulus,1.0,1.0,1.0,3.0
Gabronthus thermarum,1.0,1.0,1.0,2.0
Quedius fulgidus,1.0,1.0,1.0,2.0
Philonthus ebeninus,0.67,0.67,0.67,3.0
Bisnius puella,1.0,1.0,1.0,3.0
Quedius lucidulus,1.0,1.0,1.0,8.0
Othius subuliformis,0.77,0.62,1.0,5.0
Philonthus laminatus,0.97,1.0,0.94,17.0
Quedius umbrinus,0.82,0.75,0.9,10.0
Ochthephilum collare,1.0,1.0,1.0,1.0
Ocypus fuscatus,0.67,1.0,0.5,4.0
Leptacinus pusillus,1.0,1.0,1.0,3.0
Lathrobium fovulum,0.92,1.0,0.86,14.0
Quedius brevis,1.0,1.0,1.0,4.0
Paederus littoralis,1.0,1.0,1.0,19.0
Achenium humile,1.0,1.0,1.0,4.0
Paederus fuscipes,1.0,1.0,1.0,14.0
Quedius truncicola,1.0,1.0,1.0,2.0
Quedius puncticollis,0.84,0.73,1.0,8.0
Quedius microps,1.0,1.0,1.0,10.0
Quedius longicornis,1.0,1.0,1.0,7.0
Quedius simplicifrons,0.86,0.75,1.0,3.0
Astenus pulchellus,0.89,0.8,1.0,12.0
Quedius mesomelinus,1.0,1.0,1.0,7.0
Dinothenarus pubescens,0.89,0.8,1.0,4.0
Xantholinus tricolor,1.0,1.0,1.0,7.0
Philonthus cognatus,1.0,1.0,1.0,35.0
Rugilus orbiculatus,1.0,1.0,1.0,29.0
Erichsonius cinerascens,1.0,1.0,1.0,18.0
Medon castaneus,1.0,1.0,1.0,4.0
Gabrius splendidulus,1.0,1.0,1.0,9.0
Platydracus latebricola,0.67,1.0,0.5,2.0
Rugilus rufipes,1.0,1.0,1.0,24.0
Creophilus maxillosus,1.0,1.0,1.0,4.0
Lathrobium elongatum,0.89,0.95,0.83,24.0
Philonthus micantoides,0.8,0.67,1.0,2.0
Xantholinus longiventris,0.91,0.83,1.0,5.0
Lathrobium pallidum,0.75,0.75,0.75,4.0
Sunius melanocephalus,1.0,1.0,1.0,11.0
Quedius molochinus,1.0,1.0,1.0,7.0
Gabrius trossulus,1.0,1.0,1.0,5.0
Heterothops dissimilis,0.8,1.0,0.67,3.0
Philonthus intermedius,1.0,1.0,1.0,7.0
Philonthus alpinus,0.67,1.0,0.5,2.0
Quedius picipes,1.0,1.0,1.0,6.0
Lathrobium impressum,1.0,1.0,1.0,27.0
Philonthus discoideus,1.0,1.0,1.0,10.0
Quedius nigriceps,1.0,1.0,1.0,4.0
Atrecus longiceps,1.0,1.0,1.0,2.0
Quedius curtipennis,0.0,0.0,0.0,3.0
Bisnius fimetarius,1.0,1.0,1.0,30.0
Lathrobium dilutum,0.0,0.0,0.0,1.0
micro avg,0.94,0.94,0.94,1644.0
